Code,Name,Learning Outcomes,Description
4.1.1.1,"Atoms, elements and compounds",Students should be able to: use names and symbols of the first 20 elements; name compounds from formulae; write word and balanced chemical equations.,"Everything is composed of atoms, the smallest unit of an element. Elements consist of one type of atom represented by chemical symbols, while compounds consist of two or more elements chemically joined in fixed proportions, representable by formulae."
4.1.1.2,Mixtures,Students should be able to: describe and explain physical processes of separation; suggest suitable techniques for mixtures when given specific information.,"A mixture contains two or more substances not chemically joined, retaining their individual chemical properties. They are separable via physical processes like filtration, crystallisation, distillation, and chromatography without chemical reactions."
4.1.1.3,The development of the model of the atom,Students should be able to: describe why evidence led to changes in atomic models; explain the difference between the plum pudding and nuclear models.,"The atomic model evolved from indivisible spheres to the plum pudding model (positive ball with embedded electrons), then to the nuclear model following the alpha particle scattering experiment, eventually including Bohr’s shells and Chadwick’s neutrons."
4.1.1.4,Relative electrical charges of subatomic particles,Students should be able to: use the nuclear model to describe atoms; relate the number of protons to the atomic number.,"Atoms consist of protons (+1), neutrons (0), and electrons (-1). Because the number of protons equals the number of electrons, atoms are electrically neutral. The atomic number is defined by the unique number of protons in an element."
4.1.1.5,Size and mass of atoms,"Students should be able to: calculate numbers of protons, neutrons, and electrons given atomic/mass numbers; relate the scale of atoms to the physical world.","Atoms are extremely small (radius ~0.1 nm), with a central nucleus 1/10,000th the size containing almost all the mass. Mass number is the sum of protons and neutrons; isotopes are atoms of the same element with different neutron counts."
4.1.1.6,Relative atomic mass,Students should be able to: calculate the relative atomic mass of an element given the percentage abundance of its isotopes.,The relative atomic mass (Ar) is an average value that accounts for the mass and the abundance of all naturally occurring isotopes of an element.
4.1.1.7,Electronic structure,Students should be able to: represent the electronic structures of the first twenty elements of the periodic table in both numerical and diagrammatic forms.,"Electrons occupy specific energy levels (shells) in a fixed order. The lowest energy levels closest to the nucleus are filled first. Sodium, for example, is represented as 2, 8, 1."
4.1.2.1,The periodic table,Students should be able to: explain how an element's position relates to its electronic arrangement; predict reactions and reactivity based on table position.,"Elements are organized by atomic number into groups (columns) and periods (rows). Elements in the same group share the same number of outer-shell electrons, resulting in similar chemical properties."
4.1.2.2,Development of the periodic table,Students should be able to: describe the steps in the development of the periodic table; explain how Mendeleev’s predictions were validated.,"Early tables were based on atomic weights and were often incomplete. Mendeleev improved the table by leaving gaps for undiscovered elements and switching order where properties dictated, with later knowledge of isotopes explaining the weight discrepancies."
4.1.2.3,Metals and non-metals,Students should be able to: explain differences between metals and non-metals based on physical/chemical properties; relate atomic structure to position in the table.,"Metals are found on the left and bottom of the table and react to form positive ions. Non-metals are on the right and top, forming negative ions or covalent bonds. These differences are rooted in the arrangement of their electrons."
4.1.2.4,Group 0,Students should be able to: explain how properties depend on the outer shell; predict properties from trends down the group.,"Known as Noble Gases, these are unreactive non-metals with stable electron arrangements (8 outer electrons, except Helium which has 2). Their boiling points increase as you move down the group."
4.1.2.5,Group 1,"Students should be able to: describe reactions with oxygen, chlorine, and water; explain how properties depend on the outer shell; predict trends.","Known as Alkali Metals, they have one outer electron, making them highly reactive. Reactivity increases down the group as the outer electron is further from the nucleus and more easily lost."
4.1.2.6,Group 7,Students should be able to: describe reactions with metals and non-metals; explain properties based on the outer shell; predict trends down the group.,"Known as Halogens, these non-metals consist of diatomic molecules. Reactivity decreases down the group, while relative molecular mass, melting point, and boiling point all increase."
