Code,Name,Learning Outcomes,Description
1.1.1,Planning,"Students should be able to: design experiments, including solving problems set in a practical context, by selecting suitable apparatus, equipment and techniques; identify variables that must be controlled, where appropriate; evaluate whether a proposed experimental method is appropriate to meet the expected outcomes.","This area covers the design stage of practical biology. Learners apply their subject knowledge to plan suitable experimental approaches, choosing appropriate apparatus and techniques, recognising which variables need to be controlled, and judging whether a given method will actually achieve its intended aim."
1.1.2,Implementing,Students should be able to: use a wide range of practical apparatus and techniques correctly; select and use appropriate units for measurements; present observations and data in an appropriate format.,"This area focuses on carrying out practical work competently. It requires confident, correct use of laboratory apparatus and techniques, consistent use of suitable measurement units, and the ability to record and present observations and data clearly and appropriately."
1.1.3,Analysis,"Students should be able to: process, analyse and interpret qualitative and quantitative results, reaching valid conclusions; apply appropriate mathematical skills to quantitative data; use significant figures appropriately; plot and interpret suitable graphs, including selecting and labelling axes with appropriate scales and units, and measuring gradients and intercepts.","This area deals with turning raw practical results into meaningful conclusions. It involves applying mathematical and graphical skills to qualitative and quantitative data, choosing sensible scales and labels for graphs, and extracting quantities such as gradients and intercepts to support valid scientific conclusions."
1.1.4,Evaluation,"Students should be able to: evaluate results and draw conclusions; identify anomalies in experimental measurements; recognise the limitations of experimental procedures; assess precision and accuracy, including margins of error, percentage errors and uncertainties in apparatus; suggest improvements to refine experimental design.","This area covers critical evaluation of practical work after data has been collected. Learners assess how reliable and precise their results are, spot anomalous readings, recognise weaknesses in their method, and propose realistic improvements to apparatus or procedure to increase accuracy in future investigations."
1.2.1,Practical skills,"Students should be able to: apply investigative approaches and methods to practical work; safely and correctly use a range of practical equipment and materials, including identifying and minimising hazards; follow written instructions; make and record observations and measurements; keep appropriate records of experimental activities; present information and data in a scientific way; use appropriate software and tools to process data and report findings; use research and referencing skills, including correctly citing sources; use a wide range of experimental and practical instruments, equipment and techniques relevant to the specification.","This area sets out the broad practical competencies learners must develop across the course as preparation for the Practical Endorsement. It spans safe and correct equipment use, following instructions, accurate recording of observations and data, scientific presentation of findings, use of software for data processing, and sound research and referencing practice."
1.2.2,Use of apparatus and techniques,"Students should be able to: use appropriate apparatus to record quantitative measurements (mass, time, volume, temperature, length and pH); use instrumentation such as a colorimeter or potometer; use laboratory glassware for techniques including serial dilutions; use a light microscope at high and low power, including a graticule; produce annotated scientific drawings from observations; use qualitative reagents to identify biological molecules; separate biological compounds using chromatography or electrophoresis; safely and ethically use organisms to measure plant or animal responses and physiological functions; use microbiological aseptic techniques; safely dissect animal or plant organs; use sampling techniques in fieldwork; use ICT such as computer modelling or data loggers to collect and process data.","This area lists the specific apparatus and techniques learners must master through a minimum of twelve assessed practicals. It covers quantitative measurement, microscopy, chromatography and electrophoresis, aseptic microbiological technique, dissection, fieldwork sampling, and the use of ICT tools, all of which underpin the practical skills required for the Practical Endorsement."
2.1.1,Cell structure,Students should be able to: use microscopy to investigate different types of eukaryotic cell and cell structure; prepare and examine microscope slides; use staining in light microscopy; represent cell structure using drawings and annotated diagrams; use and manipulate the magnification formula; explain the difference between magnification and resolution; describe the ultrastructure of eukaryotic cells and the functions of their organelles; interpret photomicrographs; explain the interrelationship between organelles involved in protein production and secretion; explain the importance of the cytoskeleton; compare the structure and ultrastructure of prokaryotic and eukaryotic cells.,"Since cells are the basic unit of all living organisms, this topic explores how microscopy reveals their structure. Learners study the preparation and staining of slides, the difference between magnification and resolution, and the function of organelles such as the nucleus, ribosomes, mitochondria and chloroplasts, before comparing the simpler structure of prokaryotic cells with the more complex eukaryotic cell."
2.1.2,Biological molecules,"Students should be able to: explain hydrogen bonding in water and relate water's properties to its biological roles; describe monomers, polymers, condensation and hydrolysis reactions; identify the chemical elements in carbohydrates, lipids, proteins and nucleic acids; describe the structure of glucose, ribose, disaccharides and polysaccharides; describe the structure of starch, glycogen and cellulose and relate structure to function; describe the structure of triglycerides and phospholipids and relate properties to function; describe amino acid structure and the levels of protein structure; describe globular and fibrous proteins; identify key inorganic ions in biological processes; carry out and interpret biochemical tests for proteins, sugars, starch and lipids; use colorimetry to determine the concentration of a substance in solution.","This topic introduces the major classes of biological molecule that make up living cells. It covers the properties of water, the building of polymers from monomers through condensation and hydrolysis, the structure and function of carbohydrates, lipids, proteins and key inorganic ions, and the practical chemical tests and colorimetric methods used to identify and quantify these molecules."
2.1.3,Nucleotides and nucleic acids,"Students should be able to: describe the structure of a nucleotide as the monomer of nucleic acids; describe the formation and breakdown of polynucleotides; describe the structure of ADP and ATP; describe the structure of DNA and carry out practical purification of DNA by precipitation; explain semi-conservative DNA replication, including the roles of helicase and DNA polymerase; describe the nature of the genetic code; describe transcription and translation in the synthesis of polypeptides.","This topic examines how genetic information is stored and used. Learners study nucleotide structure, the double-helix structure of DNA, semi-conservative replication, the universal and degenerate nature of the genetic code, and how transcription and translation convert that code into polypeptides, supported by a practical DNA purification exercise."
2.1.4,Enzymes,"Students should be able to: describe the role of enzymes in catalysing intracellular and extracellular reactions; explain the mechanism of enzyme action, including the lock-and-key and induced-fit hypotheses; investigate practically the effects of pH, temperature, enzyme concentration and substrate concentration on enzyme activity; explain the need for coenzymes and cofactors; explain the effects of competitive and non-competitive inhibitors on enzyme-controlled reactions.","This topic explains how enzymes control the rate of metabolic reactions. It covers the active site and specificity of enzymes, the lock-and-key and induced-fit models of catalysis, the practical investigation of factors such as pH and temperature on reaction rate, and the action of cofactors, coenzymes and inhibitors in regulating enzyme activity."
2.1.5,Biological membranes,"Students should be able to: describe the roles of membranes within and at the surface of cells; describe the fluid mosaic model of membrane structure and the roles of its components; investigate practically factors affecting membrane structure and permeability, such as temperature and solvents; describe the movement of molecules across membranes by diffusion, facilitated diffusion, active transport, endocytosis and exocytosis, including practical investigations into diffusion rates; explain osmosis and the effect of solutions of different water potential on plant and animal cells, including practical investigation.","This topic looks at the structure of the plasma membrane and how it controls the movement of substances into and out of cells. Learners study the fluid mosaic model, the passive and active mechanisms by which molecules cross membranes, and osmosis, supported by practical work investigating membrane permeability and the effect of water potential on cells."
2.1.6,"Cell division, cell diversity and cellular organisation","Students should be able to: describe the cell cycle and how it is regulated; describe the main stages of mitosis, including examination of stained sections showing mitosis; explain the significance of mitosis and meiosis in life cycles, including the main stages of meiosis; describe how cells of multicellular organisms are specialised for particular functions; describe the organisation of cells into tissues, organs and organ systems; describe the features and differentiation of stem cells, including their production from bone marrow and meristems, and their potential uses in research and medicine.","This topic explains how cells divide, differentiate and become organised into functioning organisms. It covers the regulated stages of the cell cycle, mitosis and meiosis, the specialisation of cells such as erythrocytes and xylem vessels, the hierarchy of tissues, organs and organ systems, and the role and therapeutic potential of stem cells."
3.1.1,Exchange surfaces,"Students should be able to: explain the need for specialised exchange surfaces in terms of surface area to volume ratio and metabolic activity; describe the features of an efficient exchange surface; describe the structure and function of the mammalian gaseous exchange system and the mechanism of ventilation; relate vital capacity, tidal volume, breathing rate and oxygen uptake; describe ventilation and gas exchange in bony fish and insects; dissect and examine gaseous exchange systems and exchange-surface histology.","This topic explores why larger, more active organisms need specialised exchange surfaces, linking this to surface area to volume ratio. It covers the structure and function of the mammalian respiratory system and its ventilation mechanism, equivalent gas exchange systems in fish and insects, and practical dissection and microscopy of exchange tissues."
3.1.2,Transport in animals,"Students should be able to: explain the need for transport systems in multicellular animals; describe single, double, open and closed circulatory systems; describe the structure and function of blood vessels and the formation of tissue fluid; describe the structure of the mammalian heart, including dissection, and the cardiac cycle; explain how heart action is initiated and coordinated, and interpret ECG traces; describe the role of haemoglobin in transporting oxygen and carbon dioxide, and interpret oxygen dissociation curves including the Bohr effect.","This topic covers how animals transport nutrients, gases and waste around the body. It examines different types of circulatory system, the structure and function of blood vessels and the heart, the cardiac cycle and its coordination, and the role of haemoglobin in oxygen and carbon dioxide transport, including the Bohr effect on oxygen dissociation curves."
3.1.3,Transport in plants,"Students should be able to: explain the need for transport systems in multicellular plants; describe the structure and function of the vascular system in roots, stems and leaves, including examination and dissection of plant tissue; describe transpiration and the factors affecting it, including practical estimation of transpiration rate; explain the movement of water through the plant via apoplast and symplast pathways, and the roles of water potential, adhesion and cohesion; describe adaptations of xerophytes and hydrophytes to water availability; explain the mechanism of translocation between sources and sinks.","This topic explains how plants move water, minerals and the products of photosynthesis around their structure. It covers the vascular tissues xylem and phloem, the process and measurement of transpiration, the physical mechanisms driving water movement, adaptations to dry and aquatic environments, and the energy-requiring process of translocation."
4.1.1,"Communicable diseases, disease prevention and the immune system","Students should be able to: describe types of pathogen causing communicable disease in plants and animals, and their means of transmission; describe plant defences and the primary non-specific defences against pathogens in animals; describe the structure and action of phagocytes, including examination of blood smears; describe the roles of B and T lymphocytes in the specific immune response and the primary and secondary immune responses; describe the structure and function of antibodies and the action of opsonins, agglutinins and anti-toxins; distinguish active, passive, natural and artificial immunity; describe autoimmune disease; explain the principles of vaccination and vaccination programmes; describe sources of medicines and the benefits and risks of antibiotic use.","This topic covers how communicable diseases spread and how organisms defend against them. It explores different types of pathogen, plant and animal non-specific defences, the specific immune response involving phagocytes, lymphocytes and antibodies, the principles of vaccination and immunity, and the wider issues of medicine sourcing and antibiotic resistance."
4.2.1,Biodiversity,"Students should be able to: describe biodiversity at habitat, species and genetic levels; describe random and non-random sampling methods used to measure biodiversity, including practical fieldwork; calculate and interpret species richness, species evenness and Simpson's Index of Diversity; calculate genetic biodiversity; describe factors affecting biodiversity; explain ecological, economic and aesthetic reasons for maintaining biodiversity; describe in situ and ex situ conservation methods and international conservation agreements.","This topic examines how the variety of life can be measured and why it should be conserved. It covers habitat, species and genetic biodiversity, sampling techniques and indices such as Simpson's Index of Diversity, the pressures reducing biodiversity, and the ecological, economic and aesthetic justifications for conservation through in situ and ex situ methods and international agreements."
4.2.2,Classification and evolution,"Students should be able to: describe the biological classification of species and the binomial naming system; describe the features used to classify organisms into the five kingdoms and the three domains; explain the relationship between classification and phylogeny; describe the evidence for the theory of evolution by natural selection, including the contributions of Darwin and Wallace; describe types of intraspecific and interspecific, continuous and discontinuous variation; describe adaptations of organisms to their environment; explain the mechanism of natural selection and its implications, such as pesticide and drug resistance.","This topic explains how the immense diversity of life is classified and how it arose. It covers the taxonomic hierarchy and binomial naming, the kingdom and domain classification systems, the evidence underpinning Darwin and Wallace's theory of natural selection, and how variation and selection pressure drive evolutionary change, including resistance in pests and microorganisms."
5.1.1,Communication and homeostasis,"Students should be able to: explain the need for communication systems in multicellular organisms; describe communication between cells by cell signalling; describe the principles of homeostasis, including receptors, effectors, and negative and positive feedback; describe physiological and behavioural temperature control responses in ectotherms and endotherms.","This topic introduces how organisms maintain a stable internal environment. It covers cell signalling between adjacent and distant cells, the principles of homeostasis through negative and positive feedback, and the contrasting physiological and behavioural mechanisms used by ectotherms and endotherms to control body temperature."
5.1.2,Excretion as an example of homeostatic control,"Students should be able to: explain the term excretion and its importance in homeostasis; describe the structure and functions of the mammalian liver, including histology and roles in glycogen storage, detoxification and urea formation; describe the structure and function of the mammalian kidney, including the nephron, ultrafiltration and selective reabsorption, supported by dissection and histology; describe the control of blood water potential by osmoreceptors, ADH and the collecting ducts; describe the effects of kidney failure and its treatments; describe how excretory products can be used in medical diagnosis.","This topic covers how the liver and kidneys remove metabolic waste and help regulate the body's internal environment. It examines liver functions such as detoxification and urea formation, kidney structure and the processes of ultrafiltration and selective reabsorption, hormonal control of blood water potential, kidney failure and its treatment, and the diagnostic use of excretory products."
5.1.3,Neuronal communication,"Students should be able to: describe the roles of mammalian sensory receptors in converting stimuli into nerve impulses; describe the structure and function of sensory, relay and motor neurones; explain the generation and transmission of nerve impulses, including resting potential and action potentials in myelinated neurones; describe the structure and role of synapses, including cholinergic synapses and summation.","This topic explains how the nervous system detects and transmits information. It covers sensory receptors as transducers, the structure and roles of sensory, relay and motor neurones, the generation and propagation of nerve impulses along myelinated axons, and how synapses transmit and modulate signals between neurones."
5.1.4,Hormonal communication,"Students should be able to: describe endocrine communication by hormones; describe the structure and functions of the adrenal glands; describe the histology of the pancreas, including practical examination of stained sections; explain how blood glucose concentration is regulated by insulin and glucagon; describe the differences between Type 1 and Type 2 diabetes mellitus and potential treatments.","This topic introduces hormonal, rather than nervous, communication, using the regulation of blood glucose as a worked example. It covers how hormones are secreted and detected, the roles of the adrenal glands and pancreas, the negative-feedback control of blood glucose by insulin and glucagon, and the causes and treatment of diabetes mellitus."
5.1.5,Plant and animal responses,"Students should be able to: describe types of plant response to abiotic stress and herbivory, including practical investigation of phototropism and geotropism; describe the roles of plant hormones, including auxin and gibberellin, supported by practical investigation; describe commercial uses of plant hormones; describe the organisation of the mammalian nervous system; describe the structure of the human brain and the functions of its parts; describe reflex actions; explain the coordination of responses by the nervous and endocrine systems, including the fight-or-flight response; describe the effects of hormones and nervous mechanisms on heart rate; describe the structure of mammalian muscle and the sliding filament model of contraction.","This topic compares how plants and animals respond to their environment. It covers plant tropisms and hormones such as auxin and gibberellin, the organisation of the mammalian nervous system and brain, reflex actions, coordinated nervous and hormonal control of heart rate and the fight-or-flight response, and the sliding filament mechanism of muscle contraction."
5.2.1,Photosynthesis,"Students should be able to: explain the interrelationship between photosynthesis and respiration; describe the structure of a chloroplast and the sites of its two main stages; describe the importance of photosynthetic pigments, supported by practical chromatography; describe the light-dependent stage, including photophosphorylation; describe carbon dioxide fixation in the light-independent stage (Calvin cycle); describe the uses of triose phosphate; investigate practically the factors affecting the rate of photosynthesis.","This topic explains how plants convert light energy into chemical energy. It covers chloroplast structure, the role of photosynthetic pigments, the light-dependent reactions that generate ATP and reduced NADP, the light-independent Calvin cycle that fixes carbon dioxide, and how factors such as light intensity, carbon dioxide concentration and temperature limit the rate of photosynthesis."
